"UUID","Database ID","Title","Alternative Title","Contributor","Date","Date Start","Date End","Language","Description","Note","Subject Topical","Subject Name","Subject Geographic","Subject Temporal","Subject Title","Resource Type","Genre","Identifier BNumber","Identifier Accession Number","Identifier Call Number","Identifier ISBN","Identifier ISSN","Identifier Interview ID","Identifier Postcard ID","Identifier LCCN","Identifier OCLC/RLIN","Physical Description Extent","Physical Description Form","Publisher","Place Of Publication","Number of Items","Digital Collections URL"
"984f8ff0-c607-012f-e976-58d385a7bc34",28005,"Ely family letters","","Fowler, Elizabeth Ely, 1834-1887 | Ely family",1862,1862,1864,"English","","General Note: Arranged chronologically.","","Ely family","","","","text","Correspondence","b16569850","","MssCol 6159","","","","","","",".4 linear foot (1 box).","","","",1,"http://digitalcollections.nypl.org/collections/984f8ff0-c607-012f-e976-58d385a7bc34"
"99935740-c607-012f-dbcf-58d385a7bc34",28009,"New York Genealogical and Biographical Society collection","","New York Genealogical and Biographical Society",1644,1644,2002,"","","","Genealogy","","New York (State)","","","text | mixed material","Correspondence | Documents","","","","","","","","","NYGBSC","22 linear feet (41 boxes)","","","",3,"http://digitalcollections.nypl.org/collections/99935740-c607-012f-dbcf-58d385a7bc34"
"a24ba9c0-c607-012f-edf5-58d385a7bc34",28031,"Government Counterfeit Detector. John S. Dye, editor.","Government Counterfeit Detector. John S. Dye, editor.","","","","","English","","","Counterfeits and counterfeiting | Bank notes","","","","","","Periodicals","b15098047","","TF (Government Counterfeit Detector) Library has: v. 26, no. 3-v. 52, no. 2(Incomplete)","","","","","","47668287","nos. 8vo.","","","Philadelphia",1,"http://digitalcollections.nypl.org/collections/a24ba9c0-c607-012f-edf5-58d385a7bc34"
"a4ba6390-c607-012f-12e8-58d385a7bc34",28037,"Carnegie, Andrew. Miscellaneous file.","","Carnegie, Andrew (1835-1919) | Carnegie, Andrew, 1835-1919","","","","","","","","Carnegie, Andrew, 1835-1919","","","","","","","","MssCol 4161","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/a4ba6390-c607-012f-12e8-58d385a7bc34"
"af6afb20-c607-012f-1339-58d385a7bc34",28054,"Is Hayti decadent? In: Unique Advertiser.","Is Hayti decadent? In: Unique Advertiser.","Schomburg, Arthur Alfonso (1874-1938)","1904-08",1904,"","","","","","","","","","still image","","b11720865","","Sc Rare 917.294-S","","","","","","NYPGR27930944-B","","","[New York: Unique Advertising Co.]","",1,"http://digitalcollections.nypl.org/collections/af6afb20-c607-012f-1339-58d385a7bc34"
"b45b4d80-c607-012f-b1d0-58d385a7bc34",28063,"Church building quarterly","","Congregational Church Building Society | American Congregational Union",1883,1883,1909,"English","","General Note: Title from cover.","","","","","","text | still image","Periodicals","b15474015","","ZXCA (Church building quarterly) Library has: v. 1-27, no. 1 (1883-1909)","","","","","","7810100","27 v. : ill., plans ; 23 cm.","","American Congregational Union","New York",1,"http://digitalcollections.nypl.org/collections/b45b4d80-c607-012f-b1d0-58d385a7bc34"
"b91e1b20-c607-012f-9e4a-58d385a7bc34",28068,"The dance magazine","","",1923,1923,1931,"English","","General Note: Ceased publication with v. 17, no. 2, Dec. 1931.","Dance","","","","","text | still image","Periodicals","b12113509","","*MGZA","","","","","","NYPY737031461-S","17 v. illus. (incl. ports.) 32 cm.","","Dance Pub. Corp.","New York",1,"http://digitalcollections.nypl.org/collections/b91e1b20-c607-012f-9e4a-58d385a7bc34"
"bea5a7e0-c607-012f-3339-58d385a7bc34",28077,"Playthings","","",1903,1903,2010,"English","","","Toys","","","","","still image | text","Periodicals","b11515985","","JSM 94-578","","","","","","1639353","v. ill., ports. 29 cm.","","Geyer-McAllister Publications, etc.","New York",4,"http://digitalcollections.nypl.org/collections/bea5a7e0-c607-012f-3339-58d385a7bc34"
"c57eb480-c607-012f-5c90-58d385a7bc34",28089,"Portfolio one; twelve photographic prints, by Ansel Adams","","Adams, Ansel, 1902-1984","1948",1948,"","","","General Note: With Adams' autograph.","Photography, Artistic","","","","","still image","Photographs | Portfolios","b14266261","","*KP+++ (Grabhorn) (Adams, A. E. Portfolio one)","","","","","","42004585","2 l., 12 mounted photos. 46 cm.","","","San Francisco",2,"http://digitalcollections.nypl.org/collections/c57eb480-c607-012f-5c90-58d385a7bc34"
"d01d7f80-c607-012f-6a6a-58d385a7bc34",28106,"Country life","","",1919,1919,1937,"English","","Date/Sequential Designation Note: Monthly.","","","","","","text | still image","Periodicals","b15009621","","MVA++ (Country Life in America)","","","","","","4340531","38 v. : ill. ; 36 cm.","","Doubleday, Page & Co.","Garden City, N.Y.",1,"http://digitalcollections.nypl.org/collections/d01d7f80-c607-012f-6a6a-58d385a7bc34"
