"5cd94760-c52a-012f-bcd4-3c075448cc4b",25776,"Maps of North America.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",591,"http://digitalcollections.nypl.org/collections/5cd94760-c52a-012f-bcd4-3c075448cc4b"
"b50ab6f0-c52b-012f-5986-58d385a7bc34",25779,"Cigarette cards","Cigarette cards","",1900,1900,1999,"","This collection consists of approximately 100,000 cigarette cards from various countries, i.e. United States, Australia, Great Britain, China, South Africa, and other places, depicting actors and actresses, aircraft, art treasures, sport champions, etc.","","","","","","","still image","Cigarette cards","b15262620","","Arents Cigarette Cards","","","","","","","","","","",90,"http://digitalcollections.nypl.org/collections/b50ab6f0-c52b-012f-5986-58d385a7bc34"
"2589a880-c52c-012f-2cb4-58d385a7bc34",25780,"Billy Rose Theatre Collection photograph file","","",1865,1865,2005,"","","","Motion pictures | Vaudeville | Puppet theater | Actors | Actresses","","","","","still image","Photographs","","","","","","","","","","","","","",381,"http://digitalcollections.nypl.org/collections/2589a880-c52c-012f-2cb4-58d385a7bc34"
"02d1c8f0-c52d-012f-a615-58d385a7bc34",25781,"Thomas Addis Emmet collection","","Emmet, Thomas Addis, 1828-1919",1483,1483,1876,"English","","Date Note: Bulk (1700-1800)","","","","","","text","Manuscripts","b11868616","","MssCol 927","","","","","","","","","","",5160,"http://digitalcollections.nypl.org/collections/02d1c8f0-c52d-012f-a615-58d385a7bc34"
"16ad5350-c52e-012f-aecf-58d385a7bc34",25782,"Print Collection portrait file","","",1800,1800,1929,"","","","public figures | Biography","","","","","still image | text","Clippings | Portraits | Illustrations | Prints | Photographs | Caricatures | Cartes de visite","","","","","","","","","","","","","",10,"http://digitalcollections.nypl.org/collections/16ad5350-c52e-012f-aecf-58d385a7bc34"
"5261fd50-c52e-012f-85ec-58d385a7bc34",25783,"Robert N. Dennis collection of stereoscopic views","","",1850,1850,1930,"","","","","","","","","still image","Stereoscopic views","","","","","","","","","","Approx. 72,000 stereoscopic views : 10 x 18 cm. or smaller.","","","",42198,"http://digitalcollections.nypl.org/collections/5261fd50-c52e-012f-85ec-58d385a7bc34"
"79d4a650-c52e-012f-67ad-58d385a7bc34",25784,"Mid-Manhattan Picture Collection","","","","","","","","","","","","","","still image","Clippings (Books, newspapers, etc.) | Prints | Postcards | Photographs","","","","","","","","","","","","","",35,"http://digitalcollections.nypl.org/collections/79d4a650-c52e-012f-67ad-58d385a7bc34"
"a301da20-c52e-012f-cc55-58d385a7bc34",25785,"Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library","","",1870,1870,1980,"","Approximately 54,000 New York City photographs (and their captioned versos), primarily of exterior building views and neighborhood scenes, from the 1870s-1970s, arranged by borough and street. Photographers whose work is represented in this collection include Alexander Alland, A. Tennyson Beals and his wife Jessie Tarbox Beals, Ewing Galloway, Samuel H. Gottscho, Fay Sturtevant Lincoln, Irving Underhill, as well as Percy Loomis Sperr (1890-1964), who produced nearly 30,000 of the collection's photographs. The work of photo agencies such as Brown Brothers, Culver Service, International Photos, Underwood and Underwood, and Wurtz Brothers is also included.","","","","New York (N.Y.)","","","still image","Photographs","b19806373","","AZ 12-2335","","","","","","839909840","206 boxes (ca. 69,473 photographs) : b&w ; various sizes.","","","New York, NY.",1,"http://digitalcollections.nypl.org/collections/a301da20-c52e-012f-cc55-58d385a7bc34"
"51894d20-c52f-012f-657d-58d385a7bc34",25786,"The Vinkhuijzen collection of military uniforms","Prints and drawings collected by H.J. Vinkhuijzen","Vinkhuijzen, Hendrik Jacobus","","","","English","","Statement of Responsibility Note: Prints and drawings collected by H.J. Vinkhuijzen","Military uniforms | History","","","","","still image","Scrapbooks | Drawings","b14896507","","8-MMEH (Vinkhuijzen collection of military uniforms)","","","","","","45057766","","","","",30925,"http://digitalcollections.nypl.org/collections/51894d20-c52f-012f-657d-58d385a7bc34"
"e5114e30-c52f-012f-993c-58d385a7bc34",25789,"The Buttolph collection of menus","","Buttolph, Frank E., Miss (d. 1924)",1851,1851,1930,"","","General Note: Collection of menus made for the New York Public Library by F.E. Buttolph","","","","","","text","Menus","","","","","","","","","","","","","",17947,"http://digitalcollections.nypl.org/collections/e5114e30-c52f-012f-993c-58d385a7bc34"
"1e6dd2f0-c530-012f-c1f8-58d385a7bc34",25791,"New York World's Fair 1939-1940 records","","New York World's Fair (1939-1940)",1935,1935,1945,"","","","Exhibitions","New York World's Fair (1939-1940)","New York (State) | New York","","","text | still image","Architectural drawings | artifacts | Ephemera | Photographs | Posters | Archival Materials","b11686556","","MssCol 2233","","","","","","NYPW93-A6","","","","",1,"http://digitalcollections.nypl.org/collections/1e6dd2f0-c530-012f-c1f8-58d385a7bc34"
