"UUID","Database ID","Title","Alternative Title","Contributor","Date","Date Start","Date End","Language","Description","Note","Subject Topical","Subject Name","Subject Geographic","Subject Temporal","Subject Title","Resource Type","Genre","Identifier BNumber","Identifier Accession Number","Identifier Call Number","Identifier ISBN","Identifier ISSN","Identifier Interview ID","Identifier Postcard ID","Identifier LCCN","Identifier OCLC/RLIN","Physical Description Extent","Physical Description Form","Publisher","Place Of Publication","Number of Items","Digital Collections URL"

"3f0eb0f0-c605-012f-c55a-58d385a7bc34",27074,"La Pucelle d'Orleans : poëme heroïcomique : manuscript, [175-?]","Pucelle d'Orleans : poëme heroïcomique : manuscript, [175-?]","Voltaire (1694-1778) | Joan, of Arc, Saint, 1412-1431","175-?","","","French","","Statement of Responsibility Note: par Mr. de Voltaire.","","Joan, of Arc, Saint, 1412-1431","","","","text","Manuscripts","b16776589","","*KGV (Voltaire. Pucelle. 1750 ) 08-40","","","","","","191602893","1 v. (333 p.) ; 24 cm. (4to)","","","",396,"http://digitalcollections.nypl.org/collections/3f0eb0f0-c605-012f-c55a-58d385a7bc34"
"491273d0-c605-012f-4af6-58d385a7bc34",27098,"Emmet Collection of Manuscripts Etc. Relating to American History.","","Emmet, Thomas Addis, 1828-1919","","","","English","","General Note: Relief shown by hachures.","","","","","","text","Prints | Documents","","","MEZP","","","","","","","","","","",8917,"http://digitalcollections.nypl.org/collections/491273d0-c605-012f-4af6-58d385a7bc34"
"4be4bf70-c605-012f-d5f9-58d385a7bc34",27104,"Viaje y descripción de las Indias, 1539-1553","","Lovera, José Rafael | Cei, Galeotto, 1513-1579 | Vannini de Gerulewicz, Marisa","1995",1995,"","","","Statement of Responsibility Note: Galeotto Cey ; estudio preliminar, notas e índices, José Rafael Lovera ; [traducción, Marisa Vannini de Gerulewicz].","Discovery and exploration | Explorers","","America | Italy","","","still image | text","Books | biography","b15299189","","JHF 01-192","","","","","","36060076","lviii, 177 p. : ill. ; 28 cm.","","Fundación Banco Venezolano de Crédito","Caracas",1,"http://digitalcollections.nypl.org/collections/4be4bf70-c605-012f-d5f9-58d385a7bc34"
"624b04e0-c605-012f-8b28-58d385a7bc34",27137,"Birth control pioneer: the biography of Margaret Sanger","","Hersey, Harold Brainerd, 1893- | Sanger, Margaret, 1879-1966","1938",1938,"","English","","Ownership and Custodial History Note: 26494B.","","Sanger, Margaret, 1879-1966","","","","text","Books","b14148513","","*KF 1938 (Hersey, H. B. Birth control pioneer)","","","","","","","10 p. l., 337 f., 2 l. facsims., plates, ports. 27.5 cm.","","Sovereign House","New York",1,"http://digitalcollections.nypl.org/collections/624b04e0-c605-012f-8b28-58d385a7bc34"
"840569e0-c605-012f-ab64-58d385a7bc34",27187,"Rossīĭskoe posolʹstvo v Konstantinopolʹ, 1776 goda","","","1777",1777,"","Russian | French","","General Note: Illustrations: Two line engravings.","Foreign relations","","Russia | Turkey","","","text | still image","Books","b11757502","","Slav. Reserve 93-4179","","","","","","NYPX93-B3648","94 p. : ill. ; 24 cm.","","Pri Imperatorskoĭ Akademīi nauk","S.-Peterburg",1,"http://digitalcollections.nypl.org/collections/840569e0-c605-012f-ab64-58d385a7bc34"
"9276c2b0-c605-012f-eba9-58d385a7bc34",27211,"Le conservatoire de la danse moderne; charges parisiennes","","Sarcus, Charles Marie de, b. 1821 | Aubert & Cie.","1845",1845,"","","","Ownership and Custodial History Note: Lincoln Kirstein Collection Donor note","Dance | Caricatures and cartoons | Social dancing","","","19th century","","still image","Cartoons (Commentary)","b12158568","","*MGZFV 79-3930","","","","","","NYPY807018090-F","1 v. (12 col. plates) 35 cm.","","A. de Vresse","Paris",1,"http://digitalcollections.nypl.org/collections/9276c2b0-c605-012f-eba9-58d385a7bc34"
"933bc950-c605-012f-5105-58d385a7bc34",27213,"Plan for permanent world capitol at Flushing Meadow Park","","New York (N.Y.). Mayor's Committee on Plan and Scope | United Nations","1946",1946,"","","","Statement of Responsibility Note: New York City Mayor's Committee on Plan and Scope.","Buildings","United Nations","","","","","","b12716563","","MQWO++ (New York (City). Plan scope, Mayor's Committee on. Plan for permanent world Capitol at Flushing Meadow Park)","","","","","","2537220","26 p. : ill. (some col.), maps (some col.) ; 45 cm.","","The Committee","New York",1,"http://digitalcollections.nypl.org/collections/933bc950-c605-012f-5105-58d385a7bc34"
"95aa88d0-c605-012f-6fd4-58d385a7bc34",27221,"Palaty Sanktpeterburgskoĭ Imperatorskoĭ akademii nauk biblioteki i kunstkamery ...","","Imperatorskaia akademiia nauk (Russia) | Kunstkamera (Imperatorskaia akademiia nauk) | Imperatorskaia akademiia nauk (Russia). Biblioteka","1744",1744,"","Russian","","General Note: Captions of plates in Russian, German, French and Latin.","","Kunstkamera (Imperatorskaia akademiia nauk) | Imperatorskaia akademiia nauk (Russia). Biblioteka","","","","text | still image","","b16034965","","Slav. Reserve (Shumacher. Palaty )","","","","","","57497901","26 p. : ill., map, 12 double plans ; 26 cm.","","Pri Imperatorskoĭ akademii nauk","V. Sanktpeterburg︠i︡e",1,"http://digitalcollections.nypl.org/collections/95aa88d0-c605-012f-6fd4-58d385a7bc34"
"a2d01f90-c605-012f-fdbe-58d385a7bc34",27246,"Views of ancient monuments in Central America, Chiapas and Yucatan","","Catherwood, Fredrick","1844",1844,"","","","Statement of Responsibility Note: F. Catherwood","Antiquities","","Central America","","","","","b14268657","","*KF+++ 1844 (Catherwood, F. Views of ancient monuments)","","","","","","4695914","","","Vizetelly brothers and co., printers","London",1,"http://digitalcollections.nypl.org/collections/a2d01f90-c605-012f-fdbe-58d385a7bc34"
"a996d080-c605-012f-0b76-58d385a7bc34",27259,"Manuscript diary of an Italian journey, 23 Jul 1818-Aug 1819","","Madox, John",1818,1818,1819,"","","General Note: Pforzheimer Manuscript (S'ANA 0437).","Description and travel","","Italy","19th century","","","Manuscripts | Diaries","b18976650","","Pforz BND-MSS (Madox, J.)","","","","","","726938325","1 volume (133 manuscript pages; 130 total leaves, many blank); 16.5 cm.","","","",1,"http://digitalcollections.nypl.org/collections/a996d080-c605-012f-0b76-58d385a7bc34"
"bc6b6a40-c605-012f-ebec-58d385a7bc34",27285,"Opisanīe Sibirskago ︠t︡sarstva i vs︠i︡ekh proizshedshikh v nem d︠i︡el: ot nachála, a osoblivo ot pokoreni︠i︡a ego Rossiĭskoĭ derzhav︠i︡e po sie vremena","","Miller, Gerard Fridrikh, 1705-1783","1750",1750,"","Russian","","Statement of Responsibility Note: sochineno Gerardom Friderikom Millerom.","History","","Siberia (Russia)","","","text | still image","Books","b11745273","","Slav. Reserve 93-3590","","","","","","NYPX93-B2798","457 p., [17] leaves of plates : ill. ; 27 cm.","","Pri Imperatorskoĭ Akademii nauk","V Sanktpeterburg︠i︡e",1,"http://digitalcollections.nypl.org/collections/bc6b6a40-c605-012f-ebec-58d385a7bc34"
"bd2acaf0-c605-012f-587e-58d385a7bc34",27287,"Drevn︠i︡a︠i︡a rossiĭska︠i︡a istori︠i︡a ot nachala rossiĭskago naroda do konchiny velikago kn︠i︡az︠i︡a ︠I︡Aroslava Pervago ili do 1054 goda","","Lomonosov, Mikhail Vasilʹevich, 1711-1765","1766",1766,"","Russian","","Statement of Responsibility Note: sochinenna︠i︡a Mikhaĭlom Lomonosovym.","History","","Russia | Ukraine","","","text","Books","b11452435","","Slav. Reserve (Lomonosov, M. Drevn︠i︡a︠i︡a rossiĭska︠i︡a istori︠i︡a...)","","","","","","NYPX90-B8834","140 p. ; 24 cm. (4to)","","pri Imperatorskoĭ Akademii nauk","Sanktpeterburg [Saint Petersburg (Russia)]",1,"http://digitalcollections.nypl.org/collections/bd2acaf0-c605-012f-587e-58d385a7bc34"
